id,chapter,chapter_title,level,priority,automation,statement,evidence,sources,status,version_introduced
UXR-0012,1,Gouvernance du référentiel et langage normatif,MUST,P1,SEMI,"Toute exception répétée trois fois doit déclencher une révision de la règle, du composant ou de l'architecture.",Le registre d'exceptions est analysé périodiquement et ouvre un ticket de fond.,"S04,S23,S30,S31",active,1.0.0
UXR-0013,1,Gouvernance du référentiel et langage normatif,MUST,P0,SEMI,Les règles P0 bloquent la fusion lorsqu'elles sont violées sans dérogation valide.,La CI ou la checklist de revue marque le contrôle comme bloquant.,"S04,S23,S30,S31",active,1.0.0
UXR-0014,1,Gouvernance du référentiel et langage normatif,SHOULD,P1,MANUAL,Les règles P1 bloquent la fusion lorsque l'écart affecte un parcours principal ou une action sensible.,Le reviewer évalue l'impact utilisateur et documente la décision.,"S04,S23,S30,S31",active,1.0.0
UXR-0015,1,Gouvernance du référentiel et langage normatif,SHOULD,P2,SEMI,Les règles P2 sont planifiées lorsqu'elles ne peuvent pas être traitées dans la modification courante.,Un ticket daté existe avant fusion si la dette est introduite par la PR.,"S04,S23,S30,S31",active,1.0.0
UXR-0016,1,Gouvernance du référentiel et langage normatif,MUST,P0,MANUAL,Les sources externes servent de fondation mais les règles internes peuvent être plus strictes pour un produit à haut enjeu.,La règle interne indique clairement qu'elle constitue un standard produit renforcé.,"S04,S23,S30,S31",active,1.0.0
UXR-0017,1,Gouvernance du référentiel et langage normatif,MUST NOT,P0,SEMI,"Une capture, une maquette ou un prototype ne doit jamais être considéré comme preuve d'une capacité backend réelle.","La capacité est confirmée par contrat API, réponse réelle et test d'intégration.","S04,S23,S30,S31",active,1.0.0
UXR-0018,1,Gouvernance du référentiel et langage normatif,MUST,P1,AUTO,Chaque écran doit posséder un propriétaire produit et un propriétaire technique pour les décisions durables.,La fiche d'écran ou CODEOWNERS identifie les responsabilités.,"S04,S23,S30,S31",active,1.0.0
UXR-0019,1,Gouvernance du référentiel et langage normatif,MUST,P1,SEMI,"Une décision UI structurante doit être enregistrée lorsqu'elle affecte plusieurs écrans, le design system ou un parcours critique.","Un ADR UX contient contexte, options, décision, conséquences et date de réévaluation.","S04,S23,S30,S31",active,1.0.0
UXR-0020,1,Gouvernance du référentiel et langage normatif,MUST,P0,SEMI,"Le référentiel doit être lu comme une norme de construction, non comme une liste décorative de conseils.",Le protocole Codex exige une auto-évaluation par identifiants avant de déclarer la tâche terminée.,"S04,S23,S30,S31",active,1.0.0
UXR-0021,2,Recherche utilisateur et conception centrée humain,MUST,P0,MANUAL,"Une fonctionnalité doit répondre à un problème utilisateur observé, documenté ou explicitement hypothétique.",La source du besoin est citée et les hypothèses non validées sont marquées comme telles.,"S04,S05,S06,S17",active,1.0.0
UXR-0022,2,Recherche utilisateur et conception centrée humain,MUST,P1,MANUAL,La recherche doit étudier le travail à accomplir et pas seulement les opinions déclarées des utilisateurs.,"Les notes couvrent tâches, outils, contournements, contraintes, interruptions et critères de succès.","S04,S05,S06,S17",active,1.0.0
UXR-0023,2,Recherche utilisateur et conception centrée humain,MUST,P1,MANUAL,Les rôles à haut enjeu doivent être observés dans leur contexte réel ou dans une simulation fidèle avant de figer le parcours.,Une session contextuelle ou un test de scénario métier est consigné.,"S04,S05,S06,S17",active,1.0.0
UXR-0024,2,Recherche utilisateur et conception centrée humain,MUST NOT,P0,MANUAL,Une seule personne interne ne doit pas être utilisée comme substitut permanent de l'ensemble des utilisateurs.,Les décisions critiques reposent sur plusieurs profils ou sont marquées comme provisoires.,"S04,S05,S06,S17",active,1.0.0
UXR-0025,2,Recherche utilisateur et conception centrée humain,SHOULD,P1,MANUAL,"La recherche doit inclure des utilisateurs novices, réguliers, experts, administrateurs et utilisateurs occasionnels lorsque ces profils existent.",Le plan de recrutement couvre les niveaux de maîtrise pertinents.,"S04,S05,S06,S17",active,1.0.0
UXR-0026,2,Recherche utilisateur et conception centrée humain,MUST,P0,MANUAL,Les personnes en situation de handicap doivent être incluses dans la recherche des parcours critiques.,"Le plan de test inclut des besoins visuels, moteurs, auditifs ou cognitifs pertinents.","S04,S05,S06,S17",active,1.0.0
UXR-0027,2,Recherche utilisateur et conception centrée humain,SHOULD,P1,MANUAL,"Les situations de stress, faible bande passante, mobilité, interruption et urgence doivent être considérées comme des contextes d'usage à part entière.",Les scénarios de recherche et d'acceptation couvrent les contextes dégradés.,"S04,S05,S06,S17",active,1.0.0
UXR-0028,2,Recherche utilisateur et conception centrée humain,MUST,P1,MANUAL,Chaque étude doit définir la question de recherche avant de choisir la méthode.,"Le protocole sépare objectif, participants, tâches, métriques et analyse.","S04,S05,S06,S17",active,1.0.0
UXR-0029,2,Recherche utilisateur et conception centrée humain,MUST NOT,P1,MANUAL,Un test d'utilisabilité ne doit pas être transformé en démonstration guidée du produit.,Le facilitateur laisse l'utilisateur tenter la tâche avant d'aider.,"S04,S05,S06,S17",active,1.0.0
UXR-0030,2,Recherche utilisateur et conception centrée humain,MUST,P1,MANUAL,"Les tâches de test doivent être formulées comme des objectifs réalistes, non comme des instructions révélant les contrôles à utiliser.",Le script évite les termes exacts des boutons et menus testés.,"S04,S05,S06,S17",active,1.0.0
UXR-0031,2,Recherche utilisateur et conception centrée humain,MUST,P1,MANUAL,"Les observations doivent distinguer fait observé, interprétation et recommandation.","Le rapport utilise des champs séparés pour preuve, hypothèse et décision.","S04,S05,S06,S17",active,1.0.0
UXR-0032,2,Recherche utilisateur et conception centrée humain,SHOULD,P2,SEMI,"La gravité d'un problème doit combiner fréquence, impact, persistance et criticité métier.",La priorisation expose les quatre dimensions ou une méthode équivalente.,"S04,S05,S06,S17",active,1.0.0
UXR-0033,2,Recherche utilisateur et conception centrée humain,MUST,P1,MANUAL,Une décision ne doit pas être généralisée à partir d'un cas isolé sans signaler l'incertitude.,Le rapport mentionne taille d'échantillon et niveau de confiance qualitatif.,"S04,S05,S06,S17",active,1.0.0
UXR-0034,2,Recherche utilisateur et conception centrée humain,SHOULD,P1,MANUAL,Les prototypes doivent être testés au niveau de fidélité le plus faible permettant de répondre à la question.,Le choix de fidélité est justifié pour éviter du travail visuel prématuré.,"S04,S05,S06,S17",active,1.0.0
UXR-0035,2,Recherche utilisateur et conception centrée humain,MUST,P1,MANUAL,Les résultats contradictoires doivent être conservés et examinés plutôt que supprimés pour simplifier le récit.,Le rapport présente les divergences et leurs hypothèses explicatives.,"S04,S05,S06,S17",active,1.0.0
UXR-0036,2,Recherche utilisateur et conception centrée humain,SHOULD,P2,SEMI,Les utilisateurs doivent pouvoir signaler une friction depuis le produit lorsque cela est compatible avec la sécurité et la confidentialité.,"Un canal contextuel relie l'écran, l'état et le retour sans collecter de données excessives.","S04,S05,S06,S17",active,1.0.0
UXR-0037,2,Recherche utilisateur et conception centrée humain,MUST,P1,SEMI,"Les décisions issues de recherche doivent être traçables vers des exigences, règles ou tickets.",Chaque insight retenu possède un lien vers son implémentation ou son rejet motivé.,"S04,S05,S06,S17",active,1.0.0
UXR-0038,2,Recherche utilisateur et conception centrée humain,SHOULD,P2,SEMI,"Les recherches anciennes doivent être réévaluées lorsque le rôle, le workflow ou les contraintes techniques changent significativement.",La date et le périmètre de validité de chaque insight sont visibles.,"S04,S05,S06,S17",active,1.0.0
UXR-0039,2,Recherche utilisateur et conception centrée humain,MUST,P0,MANUAL,"Aucune optimisation mesurée ne doit dégrader un droit, une accessibilité ou une sécurité au nom de la conversion ou de la vitesse.",L'analyse inclut des garde-fous qualitatifs et non seulement une métrique business.,"S04,S05,S06,S17",active,1.0.0
UXR-0040,2,Recherche utilisateur et conception centrée humain,MUST,P1,SEMI,La conception centrée humain doit rester itérative après la mise en production.,"Le plan de release prévoit observation, mesure, retours et cycle de correction.","S04,S05,S06,S17",active,1.0.0
UXR-0041,3,"Objectif produit, tâche et contrat d'exploitation de page",MUST,P0,MANUAL,Chaque écran doit avoir un objectif opérationnel formulable en une phrase sans décrire sa mise en page.,Le Page Operating Contract contient un objectif centré sur le résultat utilisateur.,"S04,S06,S30",active,1.0.0
UXR-0042,3,"Objectif produit, tâche et contrat d'exploitation de page",MUST,P0,MANUAL,"Chaque écran doit identifier les utilisateurs autorisés, leur contexte et leur fréquence d'usage.","La fiche de page liste rôles, moments d'usage et niveau d'expertise.","S04,S06,S30",active,1.0.0
UXR-0043,3,"Objectif produit, tâche et contrat d'exploitation de page",MUST,P0,MANUAL,Chaque écran doit lister les principales questions métier auxquelles il permet de répondre.,Les questions sont traduites en ordre de lecture et en données nécessaires.,"S04,S06,S30",active,1.0.0
UXR-0044,3,"Objectif produit, tâche et contrat d'exploitation de page",MUST,P0,MANUAL,"Chaque écran doit distinguer informations primaires, secondaires et détaillées.",Le layout et le responsive respectent cette hiérarchie.,"S04,S06,S30",active,1.0.0
UXR-0045,3,"Objectif produit, tâche et contrat d'exploitation de page",MUST,P0,SEMI,"Chaque écran doit définir ses actions principales, secondaires, contextuelles et dangereuses.",La spécification relie chaque action à une capability et à une permission.,"S04,S06,S30",active,1.0.0
UXR-0046,3,"Objectif produit, tâche et contrat d'exploitation de page",MUST,P0,MANUAL,Une page ne doit pas exister uniquement parce qu'une route ou une API existe.,Son utilité est démontrée par une tâche et un résultat utilisateur.,"S04,S06,S30",active,1.0.0
UXR-0047,3,"Objectif produit, tâche et contrat d'exploitation de page",MUST,P1,MANUAL,Une page doit optimiser une tâche principale avant d'ajouter des fonctionnalités périphériques.,"Le CTA, le contenu et la navigation reflètent la priorité déclarée.","S04,S06,S30",active,1.0.0
UXR-0048,3,"Objectif produit, tâche et contrat d'exploitation de page",MUST NOT,P0,SEMI,"Une donnée ne doit pas être affichée sans expliquer sa signification, son périmètre et son utilité pour la décision.","Les métriques possèdent unité, période, provenance et accès aux contributeurs.","S04,S06,S30",active,1.0.0
UXR-0049,3,"Objectif produit, tâche et contrat d'exploitation de page",MUST,P0,AUTO,Une action visible doit produire un effet réel ou être explicitement désactivée avec une raison vérifiable.,Le test relie le contrôle à un endpoint ou à une route réelle.,"S04,S06,S30",active,1.0.0
UXR-0050,3,"Objectif produit, tâche et contrat d'exploitation de page",MUST,P0,MANUAL,"Chaque parcours critique doit suivre Observer, Comprendre, Investiguer, Agir, Vérifier.",La cartographie montre les cinq étapes ou justifie celles qui ne s'appliquent pas.,"S04,S06,S30",active,1.0.0
UXR-0051,3,"Objectif produit, tâche et contrat d'exploitation de page",MUST,P1,MANUAL,"Le test des cinq secondes doit permettre d'identifier où l'on est, l'état, l'exception, l'information principale et l'action possible.",Une revue ou un test rapide valide ces cinq réponses sans explication orale.,"S04,S06,S30",active,1.0.0
UXR-0052,3,"Objectif produit, tâche et contrat d'exploitation de page",MUST,P1,SEMI,Une page doit rester utile lorsque les couleurs et effets visuels sont retirés.,La structure sémantique et l'ordre du contenu conservent le sens.,"S04,S06,S30",active,1.0.0
UXR-0053,3,"Objectif produit, tâche et contrat d'exploitation de page",MUST,P0,SEMI,Le niveau d'autorité d'une information doit être explicite lorsque plusieurs sources ou agents contribuent.,"Le rendu distingue données canoniques, calculs, recommandations et hypothèses.","S04,S06,S30",active,1.0.0
UXR-0054,3,"Objectif produit, tâche et contrat d'exploitation de page",MUST,P1,MANUAL,Les critères de réussite d'un écran doivent être mesurables sans réduire la qualité à un seul KPI business.,"La fiche combine réussite de tâche, erreurs, temps, compréhension et garde-fous.","S04,S06,S30",active,1.0.0
UXR-0055,3,"Objectif produit, tâche et contrat d'exploitation de page",MUST NOT,P1,SEMI,Une page ne doit pas dupliquer une autre page sans différence claire de tâche ou de profondeur.,L'inventaire des routes explique la responsabilité unique de chaque vue.,"S04,S06,S30",active,1.0.0
UXR-0056,3,"Objectif produit, tâche et contrat d'exploitation de page",SHOULD,P2,MANUAL,Les informations répétées entre pages doivent servir le contexte local plutôt que recopier un dashboard global.,La répétition est justifiée par une décision immédiate de l'utilisateur.,"S04,S06,S30",active,1.0.0
UXR-0057,3,"Objectif produit, tâche et contrat d'exploitation de page",MUST,P1,SEMI,"Chaque écran doit définir ses états loading, empty, partial, stale, disconnected, forbidden, conflict, error et ready lorsqu'ils sont applicables.",La matrice de page et les stories couvrent ces états.,"S04,S06,S30",active,1.0.0
UXR-0058,3,"Objectif produit, tâche et contrat d'exploitation de page",MUST,P0,AUTO,"Chaque écran doit définir ce qui constitue un zéro réel, une absence, un inconnu et un non-applicable.",Le mapping de données utilise des états discriminés plutôt que des fallbacks numériques.,"S04,S06,S30",active,1.0.0
UXR-0059,3,"Objectif produit, tâche et contrat d'exploitation de page",MUST,P1,AUTO,"Chaque page de détail doit posséder une identité stable, une URL partageable et un retour contextuel.",Deux IDs produisent deux ressources et l'état de liste est restauré au retour.,"S04,S06,S30",active,1.0.0
UXR-0060,3,"Objectif produit, tâche et contrat d'exploitation de page",MUST,P0,SEMI,"La construction d'un écran ne peut commencer sans contrat minimal sur objectif, données, actions, états et permissions.",La tâche est bloquée tant que ces cinq éléments ne sont pas définis.,"S04,S06,S30",active,1.0.0
UXR-0061,4,Architecture de l'information et modèle mental,MUST,P1,MANUAL,L'architecture de l'information doit utiliser le vocabulaire des utilisateurs et du domaine.,Les libellés sont validés contre le glossaire métier et la recherche.,"S05,S06,S10",active,1.0.0
UXR-0062,4,Architecture de l'information et modèle mental,MUST NOT,P1,MANUAL,"La navigation ne doit pas exposer directement les couches techniques, noms de microservices ou structures de base de données aux utilisateurs non techniques.",Les termes techniques restent dans un inspecteur ou un espace administrateur.,"S05,S06,S10",active,1.0.0
UXR-0063,4,Architecture de l'information et modèle mental,MUST,P1,MANUAL,Les catégories principales doivent être mutuellement compréhensibles même si elles ne sont pas mathématiquement exclusives.,Un test de tri de cartes ou une revue métier valide le classement.,"S05,S06,S10",active,1.0.0
UXR-0064,4,Architecture de l'information et modèle mental,MUST,P1,SEMI,"Un objet métier doit conserver le même nom et la même identité à travers liste, détail, recherche, notification et audit.",Les composants utilisent un modèle d'entité partagé et des libellés cohérents.,"S05,S06,S10",active,1.0.0
UXR-0065,4,Architecture de l'information et modèle mental,MUST,P1,AUTO,Les relations entre objets doivent être explicites et navigables dans les deux sens lorsque le métier le permet.,"Les pages de détail affichent relation, statut, date et lien vers l'objet associé.","S05,S06,S10",active,1.0.0
UXR-0066,4,Architecture de l'information et modèle mental,MUST,P1,MANUAL,"La profondeur de l'arborescence doit être déterminée par les tâches, pas par une limite arbitraire de niveaux.",Les parcours fréquents restent directs et les détails rares restent accessibles.,"S05,S06,S10",active,1.0.0
UXR-0067,4,Architecture de l'information et modèle mental,SHOULD,P2,MANUAL,"Les regroupements doivent être testés avec des exemples réels, y compris les cas ambigus.",Les objets limites sont documentés et ne créent pas de catégorie fourre-tout.,"S05,S06,S10",active,1.0.0
UXR-0068,4,Architecture de l'information et modèle mental,MUST NOT,P1,SEMI,Une catégorie « Autres » ne doit pas devenir le dépôt permanent des contenus mal classés.,Son volume et ses usages sont suivis et déclenchent une refonte si récurrents.,"S05,S06,S10",active,1.0.0
UXR-0069,4,Architecture de l'information et modèle mental,MUST,P1,MANUAL,Les contenus critiques doivent rester trouvables par navigation et par recherche lorsqu'une recherche existe.,Un test utilisateur peut atteindre l'information par au moins un chemin prévisible.,"S05,S06,S10",active,1.0.0
UXR-0070,4,Architecture de l'information et modèle mental,MUST,P1,AUTO,"Le système doit révéler la portée d'un changement de contexte comme environnement, tenant, établissement, compte ou période.",Le contexte est visible dans le shell et propagé aux routes et requêtes.,"S05,S06,S10",active,1.0.0
UXR-0071,4,Architecture de l'information et modèle mental,MUST,P0,AUTO,Une information agrégée doit permettre d'atteindre les objets qui la composent.,Le clic ou l'action « contributeurs » applique un filtre ou ouvre un breakdown réel.,"S05,S06,S10",active,1.0.0
UXR-0072,4,Architecture de l'information et modèle mental,MUST,P1,SEMI,"Les pages doivent distinguer clairement vue globale, vue opérationnelle, détail et analyse profonde.","La route, le titre, les breadcrumbs et le layout reflètent le niveau L0 à L3.","S05,S06,S10",active,1.0.0
UXR-0073,4,Architecture de l'information et modèle mental,MUST,P1,AUTO,Les filtres structurants doivent être traités comme partie de l'architecture de l'information.,"Leur état est visible, partageable et restauré.","S05,S06,S10",active,1.0.0
UXR-0074,4,Architecture de l'information et modèle mental,SHOULD,P2,SEMI,Les synonymes courants et anciennes appellations doivent être indexés dans la recherche sans polluer les libellés principaux.,Le catalogue de recherche inclut alias et mots-clés contrôlés.,"S05,S06,S10",active,1.0.0
UXR-0075,4,Architecture de l'information et modèle mental,MUST,P1,MANUAL,"Les contenus doivent être ordonnés selon l'urgence, la fréquence ou la séquence de tâche pertinente.","L'ordre est justifié par le contrat de page, non par la facilité d'implémentation.","S05,S06,S10",active,1.0.0
UXR-0076,4,Architecture de l'information et modèle mental,MUST NOT,P1,AUTO,L'ordre visuel ne doit pas contredire l'ordre sémantique ou clavier.,Le DOM et le parcours de focus suivent un ordre logique.,"S05,S06,S10",active,1.0.0
UXR-0077,4,Architecture de l'information et modèle mental,MUST,P1,SEMI,"Les objets archivés, supprimés, suspendus ou indisponibles doivent conserver une représentation intelligible dans les relations et audits.",Le lien explique l'état et n'aboutit pas à un vide trompeur.,"S05,S06,S10",active,1.0.0
UXR-0078,4,Architecture de l'information et modèle mental,SHOULD,P2,MANUAL,Les informations secondaires doivent être progressivement révélées sans cacher ce qui est nécessaire pour décider.,Une personne peut terminer la tâche principale sans ouvrir tous les détails.,"S05,S06,S10",active,1.0.0
UXR-0079,4,Architecture de l'information et modèle mental,MUST,P1,AUTO,"Chaque changement majeur d'arborescence doit prévoir redirections, compatibilité des liens et migration des favoris.",Les anciennes URLs sont testées ou documentées comme rompues volontairement.,"S05,S06,S10",active,1.0.0
UXR-0080,4,Architecture de l'information et modèle mental,MUST,P1,SEMI,L'architecture de l'information doit être documentée sous forme d'arbre et de graphe de relations métier.,Les deux représentations sont versionnées avec les routes et les capabilities.,"S05,S06,S10",active,1.0.0
UXR-0081,5,"Navigation, orientation et repérage",MUST,P0,AUTO,La navigation principale doit provenir d'une source de vérité unique liée aux routes et aux capabilities.,"Sidebar, breadcrumbs, palette et mobile lisent le même registre.","S05,S06,S10,S15",active,1.0.0
UXR-0082,5,"Navigation, orientation et repérage",MUST,P1,AUTO,L'élément de navigation actif doit être identifiable sans dépendre uniquement de la couleur.,"Un indicateur de forme, position, texte ou icône complète la couleur.","S05,S06,S10,S15",active,1.0.0
UXR-0083,5,"Navigation, orientation et repérage",MUST,P1,AUTO,Chaque page L2 ou plus profonde doit afficher des breadcrumbs cohérents et cliquables.,Le chemin reflète la hiérarchie réelle et possède des noms humains.,"S05,S06,S10,S15",active,1.0.0
UXR-0084,5,"Navigation, orientation et repérage",MUST,P1,AUTO,"Le bouton retour doit préserver filtres, tri, pagination, onglet, sélection et position de scroll lorsque le contexte l'exige.",Un test E2E revient à la liste sans réinitialisation inattendue.,"S05,S06,S10,S15",active,1.0.0
UXR-0085,5,"Navigation, orientation et repérage",MUST NOT,P0,AUTO,Une destination autorisée sur desktop ne doit pas devenir inaccessible sur mobile.,Le menu mobile expose tous les domaines disponibles via navigation directe ou « Plus ».,"S05,S06,S10,S15",active,1.0.0
UXR-0086,5,"Navigation, orientation et repérage",MUST,P1,MANUAL,"Les libellés de navigation doivent décrire une destination ou une tâche, pas une métaphore ambiguë.",Un nouvel utilisateur peut prédire le contenu de la destination.,"S05,S06,S10,S15",active,1.0.0
UXR-0087,5,"Navigation, orientation et repérage",MUST,P1,AUTO,Les liens doivent naviguer et les boutons doivent déclencher une action.,Les éléments utilisent les sémantiques HTML et comportements attendus.,"S05,S06,S10,S15",active,1.0.0
UXR-0088,5,"Navigation, orientation et repérage",MUST NOT,P1,AUTO,"Un lien ne doit pas être stylé comme désactivé tout en restant activable, ni inversement.","L'état visuel, sémantique et fonctionnel est cohérent.","S05,S06,S10,S15",active,1.0.0
UXR-0089,5,"Navigation, orientation et repérage",MUST,P1,SEMI,Les changements de contexte majeurs doivent être visibles avant et après navigation.,"Le shell montre environnement, périmètre et identité sélectionnés.","S05,S06,S10,S15",active,1.0.0
UXR-0090,5,"Navigation, orientation et repérage",SHOULD,P2,MANUAL,Une palette de commandes peut accélérer la navigation experte sans remplacer les parcours visibles des novices.,Toutes les destinations importantes restent accessibles sans raccourci.,"S05,S06,S10,S15",active,1.0.0
UXR-0091,5,"Navigation, orientation et repérage",MUST,P1,SEMI,"Les raccourcis clavier globaux doivent être découvrables, personnalisables si nécessaire et non conflictuels avec le navigateur ou les aides techniques.",Une aide liste les raccourcis et les tests couvrent les conflits.,"S05,S06,S10,S15",active,1.0.0
UXR-0092,5,"Navigation, orientation et repérage",MUST NOT,P1,MANUAL,Le logo ne doit pas être le seul moyen de revenir à l'accueil si sa fonction n'est pas évidente.,Une destination « Accueil » ou équivalente reste identifiable.,"S05,S06,S10,S15",active,1.0.0
UXR-0093,5,"Navigation, orientation et repérage",MUST,P1,AUTO,Les liens externes doivent être signalés lorsque leur ouverture ou leur contexte diffère de la navigation interne.,Le libellé ou l'icône possède une alternative accessible.,"S05,S06,S10,S15",active,1.0.0
UXR-0094,5,"Navigation, orientation et repérage",SHOULD NOT,P2,AUTO,Une nouvelle fenêtre ne devrait pas être ouverte sans bénéfice clair pour la tâche.,Toute ouverture externe est annoncée et sécurisée avec rel approprié.,"S05,S06,S10,S15",active,1.0.0
UXR-0095,5,"Navigation, orientation et repérage",MUST,P1,AUTO,Les routes protégées doivent expliquer un refus plutôt que rediriger silencieusement vers une page sans rapport.,Un 403 dédié décrit la capability manquante et le recours possible.,"S05,S06,S10,S15",active,1.0.0
UXR-0096,5,"Navigation, orientation et repérage",MUST,P1,MANUAL,Les erreurs 404 doivent proposer des voies de récupération adaptées au contexte.,"La page offre recherche, parent pertinent ou retour sécurisé.","S05,S06,S10,S15",active,1.0.0
UXR-0097,5,"Navigation, orientation et repérage",SHOULD,P2,SEMI,Les sections longues doivent offrir une navigation locale ou des ancres lorsque le balayage devient difficile.,Les titres et ancres restent synchronisés avec le scroll.,"S05,S06,S10,S15",active,1.0.0
UXR-0098,5,"Navigation, orientation et repérage",MUST NOT,P1,MANUAL,Les tabs ne doivent pas être utilisées pour masquer des étapes séquentielles obligatoires.,Un workflow séquentiel utilise des étapes ou pages distinctes.,"S05,S06,S10,S15",active,1.0.0
UXR-0099,5,"Navigation, orientation et repérage",MUST,P1,AUTO,Les onglets partageables doivent être encodés dans l'URL ou restaurables de manière déterministe.,Le rafraîchissement conserve l'onglet actif.,"S05,S06,S10,S15",active,1.0.0
UXR-0100,5,"Navigation, orientation et repérage",MUST,P1,SEMI,"La navigation doit être testée avec clavier, lecteur d'écran, zoom, mobile et permissions réduites.",La matrice E2E couvre ces cinq contextes.,"S05,S06,S10,S15",active,1.0.0
UXR-0101,6,"Profondeur de page, drill-down, drawers et sous-pages",MUST,P1,MANUAL,Une vue L0 doit répondre à « que se passe-t-il et où regarder » sans prétendre contenir toute l'analyse.,"Le contenu priorise état, exceptions, tendances et accès aux domaines propriétaires.","S06,S30",active,1.0.0
UXR-0102,6,"Profondeur de page, drill-down, drawers et sous-pages",MUST,P1,MANUAL,"Une vue L1 doit permettre de filtrer, comparer, sélectionner et agir sur les objets du domaine.",La page possède les manipulations nécessaires à la tâche opérationnelle.,"S06,S30",active,1.0.0
UXR-0103,6,"Profondeur de page, drill-down, drawers et sous-pages",MUST,P1,AUTO,"Une vue L2 doit être une page adressable lorsqu'un objet possède plusieurs informations, relations, actions ou historiques.",La route contient un identifiant réel et survit au rafraîchissement.,"S06,S30",active,1.0.0
UXR-0104,6,"Profondeur de page, drill-down, drawers et sous-pages",MUST,P1,MANUAL,"Une vue L3 doit regrouper preuves, comparaisons, logs ou contributions sans surcharger le résumé L2.",Les analyses profondes sont accessibles par onglet ou sous-route partageable.,"S06,S30",active,1.0.0
UXR-0105,6,"Profondeur de page, drill-down, drawers et sous-pages",MUST,P1,MANUAL,Un drawer doit servir à un aperçu rapide qui conserve le contexte de liste.,Il permet de consulter les faits essentiels et d'ouvrir la page complète.,"S06,S30",active,1.0.0
UXR-0106,6,"Profondeur de page, drill-down, drawers et sous-pages",MUST NOT,P1,MANUAL,Un drawer ne doit pas devenir la page principale d'un objet complexe.,"Les workflows longs, historiques et multi-onglets basculent vers une route dédiée.","S06,S30",active,1.0.0
UXR-0107,6,"Profondeur de page, drill-down, drawers et sous-pages",MUST,P1,MANUAL,"Une modal doit être réservée à une confirmation, une saisie courte ou une décision bloquante.",Le contenu tient dans une tâche brève et possède une sortie claire.,"S06,S30",active,1.0.0
UXR-0108,6,"Profondeur de page, drill-down, drawers et sous-pages",MUST NOT,P1,MANUAL,Une modal ne doit pas contenir une navigation secondaire profonde ou un tableau d'investigation durable.,La spécification crée une page ou sous-page à la place.,"S06,S30",active,1.0.0
